Tabulated Molar Extinction Coefficient for Hemoglobin in Water

These values for the molar extinction coefficient e in [cm-1/(moles/liter)] were compiled by Scott Prahl (scott.prahl@oit.edu) using data from

W. B. Gratzer, Med. Res. Council Labs, Holly Hill, London
N. Kollias, Wellman Laboratories, Harvard Medical School, Boston

To convert this data to absorbance A, multiply by the molar concentration and the pathlength. For example, if x is the number of grams per liter
and a 1 cm cuvette is being used, then the absorbance is given by

        (e) [(1/cm)/(moles/liter)] (x) [g/liter] (1) [cm]
  A =  ---------------------------------------------------
                          64,500 [g/mole]

using 64,500 as the gram molecular weight of hemoglobin.

To convert this data to absorption coefficient in (cm-1), multiply by the molar concentration and 2.303,

µa = (2.303) e (x g/liter)/(64,500 g Hb/mole)

where x is the number of grams per liter. A typical value of x for whole blood is x=150 g Hb/liter.

lambda	µa HbO2	µa Hb	Hb02	Hb
638	2.465816744	23.9597693	460.4	4473.6
640	2.367269767	23.27208279	442	4345.2
642	2.268722791	22.58439628	423.6	4216.8
644	2.170175814	21.89670977	405.2	4088.4
646	2.090909767	21.23623079	390.4	3965.08
648	2.030924651	20.66058791	379.2	3857.6
650	1.970939535	20.08494502	368	3750.12
652	1.910954419	19.50930214	356.8	3642.64
654	1.850969302	18.93365926	345.6	3535.16
656	1.795268837	18.35801637	335.2	3427.68
658	1.743853023	17.78237349	325.6	3320.2
660	1.71171814	17.28085507	319.6	3226.56
662	1.681725581	16.81875544	314	3140.28
664	1.651733023	16.35644158	308.4	3053.96
666	1.621740465	15.89434195	302.8	2967.68
668	1.596032558	15.43224233	298	2881.4
670	1.574609302	14.9701427	294	2795.12
672	1.553186047	14.50804307	290	2708.84
674	1.529620465	14.07315098	285.6	2627.64
676	1.510339535	13.68089116	282	2554.4
678	1.495343256	13.28863135	279.2	2481.16
680	1.486773953	12.89637153	277.6	2407.92
682	1.478204651	12.50411172	276	2334.68
684	1.469635349	12.11206614	274.4	2261.48
686	1.461066047	11.71980633	272.8	2188.24
688	1.469635349	11.32754651	274.4	2115
690	1.478204651	10.989916	276	2051.96
692	1.486773953	10.7141987	277.6	2000.48
694	1.495343256	10.43869563	279.2	1949.04
696	1.510339535	10.16297833	282	1897.56
698	1.531762791	9.887261023	286	1846.08
700	1.553186047	9.60982986	290	1794.28
702	1.574609302	9.324472093	294	1741
704	1.596032558	9.039328558	298	1687.76
706	1.621740465	8.753970791	302.8	1634.48
708	1.651733023	8.481038512	308.4	1583.52
710	1.681725581	8.250524279	314	1540.48
712	1.71171814	8.019795814	319.6	1497.4
714	1.741710698	7.789281581	325.2	1454.36
716	1.778130233	7.558767349	332	1411.32
718	1.820976744	7.328253116	340	1368.28
720	1.863823256	7.101166605	348	1325.88
722	1.906669767	6.88307786	356	1285.16
724	1.949516279	6.664989116	364	1244.44
726	1.994505116	6.44668614	372.4	1203.68
728	2.041636279	6.174182326	381.2	1152.8
730	2.088767442	5.90317814	390	1102.2
732	2.135898605	5.90317814	398.8	1102.2
734	2.183029767	5.90317814	407.6	1102.2
736	2.243014884	5.900821581	418.8	1101.76
738	2.315853953	5.89396614	432.4	1100.48
740	2.388693023	5.976445674	446	1115.88
742	2.461532093	6.221527721	459.6	1161.64
744	2.534371163	6.466609767	473.2	1207.4
746	2.611494884	6.780674698	487.6	1266.04
748	2.692903256	7.140585395	502.8	1333.24
750	2.774311628	7.526204	518	1405.24
752	2.85572	8.115772	533.2	1515.32
754	2.937128372	8.257379721	548.4	1541.76
756	3.009967442	8.357640558	562	1560.48
758	3.074237209	8.357640558	574	1560.48
760	3.138506977	8.293585023	586	1548.52
762	3.202776744	8.078924	598	1508.44
764	3.267046512	7.817131814	610	1459.56
766	3.33560093	7.554482698	622.8	1410.52
768	3.40844	7.290976651	636.4	1361.32
770	3.48127907	7.026185209	650	1311.88
772	3.55411814	6.761393767	663.6	1262.44
774	3.626957209	6.496602326	677.2	1213
776	3.691226977	6.231810884	689.2	1163.56
778	3.746927442	5.970661395	699.6	1114.8
780	3.802627907	5.759856558	710	1075.44
782	3.858328372	5.549051721	720.4	1036.08
784	3.914028837	5.338246884	730.8	996.72
786	3.963302326	5.127442047	740	957.36
788	4.006148837	4.936989302	748	921.8
790	4.048995349	4.77095907	756	890.8
792	4.09184186	4.604928837	764	859.8
794	4.134688372	4.438898605	772	828.8
796	4.211812093	4.300504372	786.4	802.96
798	4.323213023	4.190174605	807.2	782.36
800	4.370344186	4.079630605	816	761.72
802	4.434613953	3.983868651	828	743.84
804	4.477460465	3.947663349	836	737.08
806	4.520306977	3.911243814	844	730.28
808	4.584576744	3.875038512	856	723.52
810	4.627423256	3.84054707	864	717.08
812	4.670269767	3.812482605	872	711.84
814	4.713116279	3.78441814	880	706.6
816	4.75167814	3.756139442	887.2	701.32
818	4.82880186	3.728074977	901.6	696.08
820	4.905925581	3.715649488	916	693.76
822	4.983049302	3.714792558	930.4	693.6
824	5.060173023	3.71414986	944.8	693.48
826	5.122300465	3.71329293	956.4	693.32
828	5.169431628	3.712650233	965.2	693.2
830	5.216562791	3.711793302	974	693.04
832	5.263693953	3.711150605	982.8	692.92
834	5.310825116	3.710293674	991.6	692.76
836	5.36224093	3.709650977	1001.2	692.64
838	5.417941395	3.708794047	1011.6	692.48
840	5.47364186	3.708151349	1022	692.36
842	5.529342326	3.707294419	1032.4	692.2
844	5.585042791	3.706009023	1042.8	691.96
846	5.623604651	3.70493786	1050	691.76
848	5.645027907	3.703652465	1054	691.52
850	5.666451163	3.702581302	1058	691.32
852	5.687874419	3.701295907	1062	691.08
854	5.709297674	3.700224744	1066	690.88
856	5.745717209	3.698939349	1072.8	690.64
858	5.797133023	3.708579814	1082.4	692.44
860	5.848548837	3.718648744	1092	694.32
862	5.899964651	3.728717674	1101.6	696.2
864	5.951380465	3.738572372	1111.2	698.04
866	5.989942326	3.748641302	1118.4	699.92
868	6.015650233	3.758710233	1123.2	701.8
870	6.04135814	3.780347721	1128	705.84
872	6.067066047	3.802413674	1132.8	709.96
874	6.092773953	3.824479628	1137.6	714.08
876	6.120624186	3.846545581	1142.8	718.2
878	6.150616744	3.868611535	1148.4	722.32
880	6.180609302	3.890677488	1154	726.44
882	6.21060186	3.908887256	1159.6	729.84
884	6.240594419	3.926882791	1165.2	733.2
886	6.266302326	3.945092558	1170	736.6
888	6.287725581	3.963088093	1174	739.96
890	6.309148837	3.982583256	1178	743.6
892	6.330572093	4.002078419	1182	747.24
894	6.351995349	4.021573581	1186	750.88
896	6.373418605	4.041068744	1190	754.52
898	6.39484186	4.060563907	1194	758.16
900	6.416265116	4.080273302	1198	761.84
902	6.437688372	4.097411907	1202	765.04
904	6.459111628	4.11026586	1206	767.44
906	6.476250233	4.122905581	1209.2	769.8
908	6.489104186	4.135545302	1211.6	772.16
910	6.50195814	4.148399256	1214	774.56
912	6.514812093	4.161038977	1216.4	776.92
914	6.527666047	4.168965581	1218.8	778.4
916	6.538377674	4.167037488	1220.8	778.04
918	6.546946977	4.165323628	1222.4	777.72
920	6.555516279	4.163395535	1224	777.36
922	6.564085581	4.161681674	1225.6	777.04
924	6.572654884	4.159539349	1227.2	776.64
926	6.570512558	4.136616465	1226.8	772.36
928	6.557658605	4.113693581	1224.4	768.08
930	6.544804651	4.09098493	1222	763.84
932	6.531950698	4.029071721	1219.6	752.28
934	6.519096744	3.95023414	1217.2	737.56
936	6.510527442	3.871610791	1215.6	722.88
938	6.506242791	3.792773209	1214.8	708.16
940	6.50195814	3.713935628	1214	693.44
942	6.497673488	3.635098047	1213.2	678.72
944	6.493388837	3.537622233	1212.4	660.52
946	6.482677209	3.433505209	1210.4	641.08
948	6.465538605	3.329388186	1207.2	621.64
950	6.4484	3.225485395	1204	602.24
952	6.431261395	3.12458186	1200.8	583.4
954	6.414122791	3.047029674	1197.6	568.92
956	6.39484186	2.969691721	1194	554.48
958	6.373418605	2.892353767	1190	540.04
960	6.351995349	2.814801581	1186	525.56
962	6.330572093	2.737463628	1182	511.12
964	6.309148837	2.653056	1178	495.36
966	6.28344093	2.53501386	1173.2	473.32
968	6.253448372	2.417185953	1167.6	451.32
970	6.223455814	2.299358047	1162	429.32
972	6.193463256	2.224162419	1156.4	415.28
974	6.163470698	2.154536837	1150.8	402.28
976	6.127051163	2.084954102	1144	389
978	6.084204651	2.008130307	1136	375
980	6.04135814	1.926250623	1128	360
982	5.998511628	1.844392363	1120	344
984	5.955665116	1.762512679	1112	329
986	5.904249302	1.680632995	1102.4	314
988	5.844264186	1.598753312	1091.2	299
990	5.78427907	1.516873628	1080	283.22
992	5.724293953	1.434993944	1068.8	268
994	5.664308837	1.353135684	1057.6	253
996	5.604323721	1.271256	1046.4	237.36
998	5.544338605	1.189376316	1035.2	222
1000	5.484353488	1.107496633	1024	207
